name,disclaimer,description,claim_title,claim_description,claim_reference
Magnesium,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Magnesium affects more than 300 enzymes in the body. It is involved in glucose control, regulating blood pressure, nervous system processes, and muscle function, and is required for energy production. It is also an important structural component of our bones. In fact, 60% of the magnesium in our body is stored in the skeletal system. Magnesium can be found in numerous foods, in especially high quantities in spinach, nuts, and beans. Excessive alcohol intake, diabetes, the use of PPI-drugs and certain stomach disorders can affect absorption of magnesium.  ",Optimal magnesium levels may help with the relief of ocassional sleeplessness. ,Optimal magnesium levels may help with the relief of ocassional sleeplessness. ,"[<li class=""reference"" data-id=""magnesium-sleep-2001-behavior-genetics""><div class=""reference__title"">Magnesium involvement in sleep: genetic and nutritional models.</div><div class=""reference__authors"">Chollet D, Franken P, Raffin Y, Henrotte JG, Widmer J, Malafosse A, Tafti M., </div><div class=""reference__journal"">Behavior genetics, </div><div class=""reference__year"">2001</div></li>, <li class=""reference"" data-id=""magnesium-sleep-2002-pharmacophsychiatry""><div class=""reference__title"">Oral Mg(2+) supplementation reverses age-related neuroendocrine and sleep EEG changes in humans.</div><div class=""reference__authors"">Held K1, Antonijevic IA, Künzel H, Uhr M, Wetter TC, Golly IC, Steiger A, Murck H., </div><div class=""reference__journal"">Pharmacopsychiatry, </div><div class=""reference__year"">2002</div></li>, <li class=""reference"" data-id=""magnesium-sleep-2012-Isfahan-university""><div class=""reference__title"">The effect of magnesium supplementation on primary insomnia in elderly: A double-blind placebo-controlled clinical trial.</div><div class=""reference__authors"">Abbasi B, Kimiagar M, Sadeghniiat K, Shirazi MM, Hedayati M, Rashidkhani B., </div><div class=""reference__journal"">Journal of research in medical sciences: the official journal of Isfahan University of Medical Sciences, </div><div class=""reference__year"">2012</div></li>]"
Magnesium,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Magnesium affects more than 300 enzymes in the body. It is involved in glucose control, regulating blood pressure, nervous system processes, and muscle function, and is required for energy production. It is also an important structural component of our bones. In fact, 60% of the magnesium in our body is stored in the skeletal system. Magnesium can be found in numerous foods, in especially high quantities in spinach, nuts, and beans. Excessive alcohol intake, diabetes, the use of PPI-drugs and certain stomach disorders can affect absorption of magnesium.  ",Insomnia,"Insomnia is a problem for people of all ages, but it tends to get worse as we age. Insomnia can cause a number of  symptoms including difficulty falling asleep, difficulty staying asleep, and awakening feeling unrested. In a 2012 clinical study, 46 elderly adults were given 500mg of magnesium or a placebo. The magnesium group experienced improvements in sleep efficiency, concentration of serum renin, cortisol and melatonin. Actual total time asleep was not different between the two groups. ","[<li class=""reference"" data-id=""magnesium-sleep-2012-Isfahan-university""><div class=""reference__title"">The effect of magnesium supplementation on primary insomnia in elderly: A double-blind placebo-controlled clinical trial.</div><div class=""reference__authors"">Abbasi B, Kimiagar M, Sadeghniiat K, Shirazi MM, Hedayati M, Rashidkhani B., </div><div class=""reference__journal"">Journal of research in medical sciences: the official journal of Isfahan University of Medical Sciences, </div><div class=""reference__year"">2012</div></li>]"
Magnesium,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Magnesium affects more than 300 enzymes in the body. It is involved in glucose control, regulating blood pressure, nervous system processes, and muscle function, and is required for energy production. It is also an important structural component of our bones. In fact, 60% of the magnesium in our body is stored in the skeletal system. Magnesium can be found in numerous foods, in especially high quantities in spinach, nuts, and beans. Excessive alcohol intake, diabetes, the use of PPI-drugs and certain stomach disorders can affect absorption of magnesium.  ",Alcohol,People who consume alcohol frequently are at a higher risk for magnesium inadequacy or deficiency.,"[<li class=""reference"" data-id=""magnesium-NIH-ODS""><div class=""reference__title"">Magnesium - Health Professional Fact Sheet</div><div class=""reference__authors"">Office of Dietary Supplements, </div><div class=""reference__journal"">National Institutes of Health, </div><div class=""reference__year"">2016</div></li>]"
Calcium Plus,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Calcium is the most prevalent mineral in the human body. It can be found in high amounts in dairy, oranges, and some fish. It is an essential mineral and is necessary for muscle contraction, blood clotting, communication between cells, and regulation of blood pressure and heart rate. Our bones and teeth store 99% of our body’s calcium. When your body doesn’t get enough calcium, it will start to take the calcium from your bones and teeth and distribute it elsewhere. As we age, our bones lose their strength, which is when calcium becomes most important. In fact, the National Osteoporosis Foundation recommends 1,200mg of calcium per day. ",Bone Health,"It is well established that adequate calcium intake is important to prevent osteoporosis. Since osteoporosis is a disease that most commonly affects the elderly, they are typically the subject of clinical studies on calcium.In a 1997 study, 318 volunteers over the age of 65 participated in a double-blind, placebo-controlled study. This three-year study found that total body bone mineral density was improved in the group receiving calcium and vitamin D.However, it did not show a significant difference in the bone mineral density at the hip and femoral spine between the two groups. The placebo group exhibited a higher fracture rate, at 12.9% compared to 5.9% for the  group receiving calcium and vitamin D.An even larger study on 1,765 elderly women found similar results to the trial mentioned above. This 1992 study found 32 percent fewer non-vertebral fractures and 43 percent fewer hip fractures in a group receiving vitamin D and calcium versus the placebo group. After 18 months, the group receiving vitamin D and calcium also experienced a 2.7% increase in bone density at the proximal femoral region, while the placebo group had a 4.6% decrease. This study did not show any changes in serum creatinine, phosphorus, osteocalcin, and total protein concentrations. The studies above were on the elderly, and more studies should be performed on a wider group of the population.A double-blind, placebo-controlled study with 930 volunteers gave participants 1,200mg of calcium or a placebo for 4 years. Subjects were monitored over the course of the study and for several years after.. During the course of treatment, only 15 participants experienced fractures from minimal trauma in the treatment group, compared to 29 participants from the placebo group. The benefit of the calcium was only found during the supplementation period. In the years after the treatment had ended, no benefit was found.In 2010, a data analysis was performed on 68,517 participants to prove the effects of calcium and vitamin D. Seven randomized studies were included in the data analysis, which included over 1,000 participants. This meta-analysis reported: “trials using vitamin D with calcium showed a reduced overall risk of fracture and hip fracture. For vitamin D alone in daily doses of 10 micrograms or 20 micrograms, no significant effects were found.” This data supports the synergistic effect of calcium and Vitamin D.
","[<li class=""reference"" data-id=""calcium-vitamind-NEMJ-1997-bones-65-and-older""><div class=""reference__title"">Effect of Calcium and Vitamin D Supplementation on Bone Density in Men and Women 65 Years of Age or Older</div><div class=""reference__authors"">Dawson-Hughes B, Harris S, Krall EA, and Dallal, </div><div class=""reference__journal"">The New England Journal of Medicine, </div><div class=""reference__year"">1997</div></li>, <li class=""reference"" data-id=""calcium-vitamind-NEJM-1992-women-hip-fracture""><div class=""reference__title"">Vitamin D3 and Calcium to Prevent Hip Fractures in Elderly Women</div><div class=""reference__authors"">Chapuy MC, Arlot ME, Duboeuf F, Brun J, Crouzet B, Arnaud S, Delmas PD, and Meunier PJ., </div><div class=""reference__journal"">The New England Journal of Medicine, </div><div class=""reference__year"">1992</div></li>, <li class=""reference"" data-id=""calcium-vitamind-fractures-bmj-2010""><div class=""reference__title"">Patient level pooled analysis of 68,500 patients from seven major vitamin D fracture trials in US and Europe.</div><div class=""reference__authors"">Abrahamsen B, Masud T, Avenell A, Anderson F, Meyer HE, Cooper C, Smith H, LaCroix AZ, Torgerson D, Johansen A, Jackson R, Rejnmark L, Wactawski-Wende J, Brixen K, Mosekilde L, Robbins JA, Francis RM., </div><div class=""reference__journal"">BMJ, </div><div class=""reference__year"">2010</div></li>]"
Calcium Plus,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Calcium is the most prevalent mineral in the human body. It can be found in high amounts in dairy, oranges, and some fish. It is an essential mineral and is necessary for muscle contraction, blood clotting, communication between cells, and regulation of blood pressure and heart rate. Our bones and teeth store 99% of our body’s calcium. When your body doesn’t get enough calcium, it will start to take the calcium from your bones and teeth and distribute it elsewhere. As we age, our bones lose their strength, which is when calcium becomes most important. In fact, the National Osteoporosis Foundation recommends 1,200mg of calcium per day. ",Bone Health,"Healthy bones are of increasing importance as we age – keeping your bones healthy is crucial to reducing the risk of fracture. Calcium and vitamin D are essential minerals to keep your bones healthy and strong. The National Osteoporosis Foundation recommends 1,200mg of Calcium and 800 - 1,000 IU of vitamin D per day for people over the age of 50, but these minerals are of serious importance to people of all ages.Most of the strong research on calcium and vitamin D has been performed on elderly people since they are at the highest risk of osteoporosis. In a 1997 study, 318 volunteers over the age of 65 participated in a double-blind, placebo-controlled study. This three-year study found that total body bone mineral density was improved in the calcium and vitamin D group, however, it did not determine any significant difference in bone mineral density at the hip and femoral spine between the two groups. The placebo group exhibited a higher fracture rate, at 12.9% compared to only 5.9% for the treatment group.An even larger study on 1,765 elderly women found similar results to the trial mentioned above. This 1992 study found 32% fewer non-vertebral fractures and 43% fewer hip fractures in the vitamin D and calcium group than in the placebo group. After 18 months, the Vitamin D and calcium group also experienced a 2.7% increase in bone density at the proximal femoral region, while the placebo group had a 4.6% decrease. This study did not show any changes in serum creatinine, phosphorus, osteocalcin, and total protein concentrations. The studies above were conducted on elderly patients, so more studies should be performed on a wider group of the population to allow for broader conclusions to be drawn.In 2010, a data analysis was performed on 68,517 participants to prove the effects of calcium and vitamin D. Seven randomized studies were included in the data analysis, includingover 1,000 participants. This meta-analysis reported that trials using vitamin D with calcium showed a reduced overall risk of fracture and hip fracture and that people receiving vitamin D alone in daily doses of 10 micrograms or 20 micrograms reported no significant effects. This data supports the synergistic effect of Calcium and vitamin D. 
","[<li class=""reference"" data-id=""calcium-vitamind-NEMJ-1997-bones-65-and-older""><div class=""reference__title"">Effect of Calcium and Vitamin D Supplementation on Bone Density in Men and Women 65 Years of Age or Older</div><div class=""reference__authors"">Dawson-Hughes B, Harris S, Krall EA, and Dallal, </div><div class=""reference__journal"">The New England Journal of Medicine, </div><div class=""reference__year"">1997</div></li>, <li class=""reference"" data-id=""calcium-vitamind-NEJM-1992-women-hip-fracture""><div class=""reference__title"">Vitamin D3 and Calcium to Prevent Hip Fractures in Elderly Women</div><div class=""reference__authors"">Chapuy MC, Arlot ME, Duboeuf F, Brun J, Crouzet B, Arnaud S, Delmas PD, and Meunier PJ., </div><div class=""reference__journal"">The New England Journal of Medicine, </div><div class=""reference__year"">1992</div></li>, <li class=""reference"" data-id=""calcium-vitamind-fractures-bmj-2010""><div class=""reference__title"">Patient level pooled analysis of 68,500 patients from seven major vitamin D fracture trials in US and Europe.</div><div class=""reference__authors"">Abrahamsen B, Masud T, Avenell A, Anderson F, Meyer HE, Cooper C, Smith H, LaCroix AZ, Torgerson D, Johansen A, Jackson R, Rejnmark L, Wactawski-Wende J, Brixen K, Mosekilde L, Robbins JA, Francis RM., </div><div class=""reference__journal"">BMJ, </div><div class=""reference__year"">2010</div></li>]"
Calcium Plus,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Calcium is the most prevalent mineral in the human body. It can be found in high amounts in dairy, oranges, and some fish. It is an essential mineral and is necessary for muscle contraction, blood clotting, communication between cells, and regulation of blood pressure and heart rate. Our bones and teeth store 99% of our body’s calcium. When your body doesn’t get enough calcium, it will start to take the calcium from your bones and teeth and distribute it elsewhere. As we age, our bones lose their strength, which is when calcium becomes most important. In fact, the National Osteoporosis Foundation recommends 1,200mg of calcium per day. ",Pregnancy,"Calcium has been shown to be beneficial for gestational hypertension. A double-blind, placebo-controlled study was performed on 189 pregnant subjects from 20-weeks’ gestation until delivery. The rate of pregnancy-induced hypertension was 8.24% in the calcium group and 29.03% in the placebo group. The incidence of gestational hypertension was 6.18% in the calcium group and 17.20% in the placebo group. The rate of preeclampsia was also lower for the calcium group, at 2.06%, compared to 11.82% in the placebo group.A 1999 clinical trial on 456 pregnant Australian women also examined the effect of calcium on gestational hypertension. This study concluded that calcium reduced the risk of preeclampsia and pre-term birth, but did not decrease the frequency of pregnancy-induced hypertension.In 2010, a meta-analysis reviewed 13 high-quality studies involving a total of 15,730 pregnant women. Twelve of the 13 studies including 15,470 subjects suggest that calcium supplementation reduces the risk of hypertension during pregnancy. The analysis also concluded that calcium reduces the risk of preterm birth. Most of the women in the trials were low-risk for pre-term birth and had a low calcium diet.
","[<li class=""reference"" data-id=""calcium-pregnancy-JOGR-1996-hypertension""><div class=""reference__title"">Calcium Supplementation and Prevention of Pregnancy Induced Hypertension.</div><div class=""reference__authors"">Purwar M, Kulkarni H, Motghare V, Dhole S., </div><div class=""reference__journal"">Journal of obstetrics and gynaecology research, </div><div class=""reference__year"">1996</div></li>, <li class=""reference"" data-id=""calcium-review-pregnancy-hypertension-1999-AZJOG""><div class=""reference__title"">Calcium supplementation in nulliparous women for the prevention of pregnancy-induced hypertension, preeclampsia and preterm birth: an Australian randomized trial. FRACOG and the ACT Study Group.</div><div class=""reference__authors"">Crowther CA, Hiller JE, Pridmore B, Bryce R, Duggan P, Hague WM, Robinson JS., </div><div class=""reference__journal"">The Australian and New Zealand Journal of Obstetrics &amp; Gynaecology, </div><div class=""reference__year"">1999</div></li>, <li class=""reference"" data-id=""calcium-cochrane-2010-pregnancy""><div class=""reference__title"">Calcium supplementation during pregnancy for preventing hypertensive disorders and related problems.</div><div class=""reference__authors"">Hofmeyr GJ, Lawrie TA, Atallah AN, Duley L., </div><div class=""reference__journal"">The Cochrane Database of Systematic Reviews, </div><div class=""reference__year"">2010</div></li>]"
Calcium Plus,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Calcium is the most prevalent mineral in the human body. It can be found in high amounts in dairy, oranges, and some fish. It is an essential mineral and is necessary for muscle contraction, blood clotting, communication between cells, and regulation of blood pressure and heart rate. Our bones and teeth store 99% of our body’s calcium. When your body doesn’t get enough calcium, it will start to take the calcium from your bones and teeth and distribute it elsewhere. As we age, our bones lose their strength, which is when calcium becomes most important. In fact, the National Osteoporosis Foundation recommends 1,200mg of calcium per day. ",Heart Health,"The usage of dietary supplements for heart health is a hotly contested issue in the scientific community. Calcium is needed to regulate heart rate; however, there is concern that too much calcium will calcify in the arteries, which can be dangerous for health. There is a lot of conflicting research on this topic. We have referenced one clinical study below, but we encourage you to consult your physician for more information about calcium and heart health.A double-blind, randomized, placebo-controlled study of 49 overweight men found supplementing with 1,250mg of calcium per day was beneficial to cholesterol and blood pressure. This study reported an 8.5% reduction (mean average) in LDL cholesterol and a 6.84% (mean av.) reduction in systolic blood pressure for the calcium group. ","[<li class=""reference"" data-id=""calcium-cardiovascular-overweightmen-2010""><div class=""reference__title"">Effects of a calcium supplement on serum lipoproteins, apolipoprotein B, and blood pressure in overweight men</div><div class=""reference__authors"">Shidfar F, Moghayedi M, Kerman SRJ , Hosseini S,  Shidfar S. , </div><div class=""reference__journal"">International journal of endocrinology &amp; metabolism, </div><div class=""reference__year"">2010</div></li>]"
Calcium Plus,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Calcium is the most prevalent mineral in the human body. It can be found in high amounts in dairy, oranges, and some fish. It is an essential mineral and is necessary for muscle contraction, blood clotting, communication between cells, and regulation of blood pressure and heart rate. Our bones and teeth store 99% of our body’s calcium. When your body doesn’t get enough calcium, it will start to take the calcium from your bones and teeth and distribute it elsewhere. As we age, our bones lose their strength, which is when calcium becomes most important. In fact, the National Osteoporosis Foundation recommends 1,200mg of calcium per day. ",Alcohol,"Excessive alcohol consumption inhibits calcium absorption and has been shown to obstruct the production of vitamin D, which is needed for calcium absorption. People who drink alcohol daily should consider calcium supplementation.  ","[<li class=""reference"" data-id=""calcium-alcohol-NIH-2016""><div class=""reference__title"">What People Recovering from Alcoholism Need to Know About Osteoporosis</div><div class=""reference__authors"">National Institute of Health, </div><div class=""reference__journal"">National Institute of Health, </div><div class=""reference__year"">2016</div></li>]"
Calcium Plus,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Calcium is the most prevalent mineral in the human body. It can be found in high amounts in dairy, oranges, and some fish. It is an essential mineral and is necessary for muscle contraction, blood clotting, communication between cells, and regulation of blood pressure and heart rate. Our bones and teeth store 99% of our body’s calcium. When your body doesn’t get enough calcium, it will start to take the calcium from your bones and teeth and distribute it elsewhere. As we age, our bones lose their strength, which is when calcium becomes most important. In fact, the National Osteoporosis Foundation recommends 1,200mg of calcium per day. ",Smoking,"Studies have shown that smoking is harmful to your bones. If you are a smoker, it is important to get enough calcium and vitamin D through diet or supplementation. ","[<li class=""reference"" data-id=""osteoporosis-smoking-NIH-2016""><div class=""reference__title"">Smoking and bone health</div><div class=""reference__authors"">National Institutes of Health, </div><div class=""reference__journal"">Osteoporosis and related bone disease national resource center, </div><div class=""reference__year"">2016</div></li>]"
Calcium Plus,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Calcium is the most prevalent mineral in the human body. It can be found in high amounts in dairy, oranges, and some fish. It is an essential mineral and is necessary for muscle contraction, blood clotting, communication between cells, and regulation of blood pressure and heart rate. Our bones and teeth store 99% of our body’s calcium. When your body doesn’t get enough calcium, it will start to take the calcium from your bones and teeth and distribute it elsewhere. As we age, our bones lose their strength, which is when calcium becomes most important. In fact, the National Osteoporosis Foundation recommends 1,200mg of calcium per day. ",Smoking,"Studies have shown that smoking is harmful to your bones. If you are a smoker, it is important to get enough calcium and vitamin D through diet or supplementation. ","[<li class=""reference"" data-id=""osteoporosis-smoking-NIH-2016""><div class=""reference__title"">Smoking and bone health</div><div class=""reference__authors"">National Institutes of Health, </div><div class=""reference__journal"">Osteoporosis and related bone disease national resource center, </div><div class=""reference__year"">2016</div></li>]"
Calcium Plus,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Calcium is the most prevalent mineral in the human body. It can be found in high amounts in dairy, oranges, and some fish. It is an essential mineral and is necessary for muscle contraction, blood clotting, communication between cells, and regulation of blood pressure and heart rate. Our bones and teeth store 99% of our body’s calcium. When your body doesn’t get enough calcium, it will start to take the calcium from your bones and teeth and distribute it elsewhere. As we age, our bones lose their strength, which is when calcium becomes most important. In fact, the National Osteoporosis Foundation recommends 1,200mg of calcium per day. ",Sunlight,"Vitamin D is found in our diet, but we also produce it through exposure to sunlight. However, a number of factors impact the ability for people to get necessary levels of vitamin D through sun exposure.Regional factors that prevent people from getting sun exposure include cloud cover patterns, smog, and the angle with which the sun hits the earth. In cities north of 37 degrees latitude (imagine a line drawn between San Francisco and Richmond, VA), it’s hard for people to produce enough vitamin D from sun exposure, especially between the months of November and March.The ability for skin to absorb light also impacts how well people can produce vitamin D, as does the use of sunscreen and the number of hours per day spent inside. It should be noted that UVB rays necessary to produce vitamin D do not penetrate glass, so sitting near a window indoors won’t help you produce sufficient vitamin D. ","[<li class=""reference"" data-id=""VitaminD-NIH-2016""><div class=""reference__title"">Vitamin D - Fact Sheet for Health Professionals</div><div class=""reference__authors"">National Institute of Health - Office of Dietary Supplements, </div><div class=""reference__journal"">National Institute of Health - Office of Dietary Supplements, </div><div class=""reference__year"">2016</div></li>]"
Calcium Plus,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Calcium is the most prevalent mineral in the human body. It can be found in high amounts in dairy, oranges, and some fish. It is an essential mineral and is necessary for muscle contraction, blood clotting, communication between cells, and regulation of blood pressure and heart rate. Our bones and teeth store 99% of our body’s calcium. When your body doesn’t get enough calcium, it will start to take the calcium from your bones and teeth and distribute it elsewhere. As we age, our bones lose their strength, which is when calcium becomes most important. In fact, the National Osteoporosis Foundation recommends 1,200mg of calcium per day. ",Bone Health,"Post-menopausal women, who have the highest rate of osteoporosis, were selected for a 2009 clinical study on the effects of Vitamin K on bone health. 244 healthy postmenopausal women were given 180mcg per day of vitamin K2 or a placebo for three years, and their bone strength and density was measured each year. Vitamin K2 reduced age-related decline in bone mineral content and bone mineral density at the lumbar spine and femoral neck, but not at the total hip. Bone strength was affected positively by vitamin K2 and a decrease in the loss of vertebral height in the lower thoracic region was found.In a 1991 study, blood samples were taken from two groups in order to review the levels of vitamin K2. The subjects in the first group had osteoporosis and had experienced a recent fracture; those in the second group were healthy and did not have osteoporosis. Vitamin K2 levels were significantly higher in the group without osteoporosis. In the osteoporosis group, only two of the 29 patients were getting sufficient levels of vitamin K2. 
","[<li class=""reference"" data-id=""vitamink2-bones-women-2013-osteoporosis""><div class=""reference__title"">Three-year low-dose menaquinone-7 supplementation helps decrease bone loss in healthy postmenopausal women.
</div><div class=""reference__authors"">Knapen MH, Drummen NE, Smit E, Vermeer C, Theuwissen E., </div><div class=""reference__journal"">Osteoporosis International, </div><div class=""reference__year"">2013</div></li>, <li class=""reference"" data-id=""vitamink2-fracture-risk-bone-1991""><div class=""reference__title"">Depressed levels of circulating menaquinones in patients with osteoporotic fractures of the spine and femoral neck.</div><div class=""reference__authors"">Hodges SJ, Pilkington MJ, Stamp TC, Catterall A, Shearer MJ, Bitensky L, Chayen J., </div><div class=""reference__journal"">Bone, </div><div class=""reference__year"">1991</div></li>]"
Calcium Plus,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Calcium is the most prevalent mineral in the human body. It can be found in high amounts in dairy, oranges, and some fish. It is an essential mineral and is necessary for muscle contraction, blood clotting, communication between cells, and regulation of blood pressure and heart rate. Our bones and teeth store 99% of our body’s calcium. When your body doesn’t get enough calcium, it will start to take the calcium from your bones and teeth and distribute it elsewhere. As we age, our bones lose their strength, which is when calcium becomes most important. In fact, the National Osteoporosis Foundation recommends 1,200mg of calcium per day. ",Heart Health,"Vitamin K2 supports heart health by stimulating Gla-protein in order to prevent calcification of the arteries and soft-tissue. Clinical studies have attempted to further prove the benefits of vitamin K2 for heart health.16,057 women who were free of cardiovascular disease were analyzed using a food frequency questionnaire. After approximately 8 years there were 480 cases of cardiovascular heart disease (CHD) in the group. The average daily vitamin K2 intake for the patients who developed CHD was 29.1mcg, far below the recommended daily intake of 80mcg/day.A 2004 study also reviewed vitamin K2 intake and its relation to CHD. The Rotterdam study reviewed the dietary intake of 4,807 subjects. They found the relative risk of CHD mortality and severe aortic calcification was reduced in the middle and upper tiers of vitamin K2 consumption when compared to the lower tier.A 2015 clinical study attempted to prove a link between vitamin K2 and arterial stiffness. 244 healthy post-menopausal women were randomized and given either a placebo or 180mcg of vitamin K2 per day. After three years, the group receiving vitamin K2 showed fewer signs of arterial stiffness than the placebo group when measured using echotracking.  
","[<li class=""reference"" data-id=""vitamin-k2-heart-NMCD-2009""><div class=""reference__title"">A high menaquinone intake reduces the incidence of coronary heart disease.</div><div class=""reference__authors"">Gast GC, de Roos NM, Sluijs I, Bots ML, Beulens JW, Geleijnse JM, Witteman JC, Grobbee DE, Peeters PH, van der Schouw YT., </div><div class=""reference__journal"">Nutrition, metabolism and cardiovascular diseases: NMCD, </div><div class=""reference__year"">2009</div></li>, <li class=""reference"" data-id=""vitamink2-arterial-stiffness-thrombosis-2015""><div class=""reference__title"">""Menaquinone-7 supplementation improves arterial stiffness in healthy postmenopausal women. A double-blind randomised clinical trial.""</div><div class=""reference__authors"">Knapen MH, Braam LA, Drummen NE, Bekers O, Hoeks AP, Vermeer C., </div><div class=""reference__journal"">Thrombosis and haemostasis, </div><div class=""reference__year"">2015</div></li>, <li class=""reference"" data-id=""vitaminK2-heart-2004-journal-of-nutrition""><div class=""reference__title"">Dietary intake of menaquinone is associated with a reduced risk of coronary heart disease: the Rotterdam Study.</div><div class=""reference__authors"">Geleijnse JM, Vermeer C, Grobbee DE, Schurgers LJ, Knapen MH, van der Meer IM, Hofman A, Witteman JC., </div><div class=""reference__journal"">The Journal of Nutrition, </div><div class=""reference__year"">2004</div></li>]"
Iron,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Iron deficiency is a common nutritional disorder, affecting a large number of women and children in both developing and industrialized countries. According to the World Health Organization, over 30% of the world’s population – approximately 2 billion people, are anemic due to iron deficiency. ",Deficiency,"Iron deficiency is dangerous and is easily diagnosed by a simple blood test. If you are deficient in iron and have trouble obtaining enough iron through dietary sources, iron supplementation may be a good alternative. For more information about iron, please visit:https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3685880/","[<li class=""reference"" data-id=""Iron-deficiency-2013-cold-spring""><div class=""reference__title"">Iron Deficiency Anemia: A Common and Curable Disease</div><div class=""reference__authors"">Jeffery L. Miller, </div><div class=""reference__journal"">Cold Spring Harbor Perspectives in Medicine, </div><div class=""reference__year"">2013</div></li>, <li class=""reference"" data-id=""Iron-NIH-2016-overview""><div class=""reference__title"">iron - Health Professional Fact Sheet</div><div class=""reference__authors"">Office of dietary supplements, </div><div class=""reference__journal"">National Institutes of Health, </div><div class=""reference__year"">2016</div></li>]"
Iron,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Iron deficiency is a common nutritional disorder, affecting a large number of women and children in both developing and industrialized countries. According to the World Health Organization, over 30% of the world’s population – approximately 2 billion people, are anemic due to iron deficiency. ",Vegan,People who are vegan may have a greater chance of being iron deficient because high-fat meat products are the best source of iron.,"[<li class=""reference"" data-id=""iron-vegans-NHLBI-2014""><div class=""reference__title"">Who is at risk of iron deficiency?</div><div class=""reference__authors"">National Heart, Lung and Blood Institute, </div><div class=""reference__journal"">National Heart, Lung and Blood Institute, </div><div class=""reference__year"">2014</div></li>]"
