product_name,code_name,subtitle,symbol_label,description,amount_and_price,assessment_text,assessment_base,nutrition_interaction,label,product_type,dosage,ingredients,does_not_contain
"<h1 class=""h0"">Zinc</h1>",zinc_1,"<h3 class=""h4 subtitle"">Immunity Z</h3>","Immunity, ","Zinc is an essential mineral that benefits the immune system. Ours is produced with copper to ensure an ideal balance of minerals.
",1 capsule per day+ $5/mo,"Zinc is essential for the human body, playing a role in the function of over 300 critical enzymes. It's important to get the daily recommended amount of this essential mineral, but it is largely found in non-vegetarian foods, like beef, lamb, and oysters. Vegetarians and vegans, in particular, are at risk for inadequate zinc intake, which affects the immune system.",Mixed Research,"Helps maintain a healthy immune system, ","Vegetarian, Gluten Free, Vegan, ",1 capsule,13 mgZinc+2 mgCopper+,"Zinc, Copper, Rice flour, Microcrystalline cellulose, Vegetable stearic acid, Capsule shell (hydroxypropyl methylcellulose), Maltodextrin, Citric acid, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Soy, Wheat, Ragweed"
"<h1 class=""h0"">Ashwagandha</h1>",ashwagandha_1,"<h3 class=""h4 subtitle"">The Chill Pill</h3>","Brain, Stress, ","Ashwagandha is an adaptogenic herb used in traditional Ayurveda. Our ashwagandha is sustainably grown in India and produced using a gentle extraction method that yields the highest concentration available.
",1 capsule per day+ $8/mo,"In the Indian practice of Ayurveda, ashwagandha has been celebrated for centuries for its therapeutic qualities. More recently, in several research studies, including one with 64 participants, it has been shown to impact stress and physical endurance in conjunction with exercise. While it is not commonly used in Western medicine and larger scale studies are needed to prove clinical efficacy, ashwagandha's appeal in the increasingly hectic world is clear.",Emerging Research,"Supports memory and cognitive function, Supports strength & endurance, Helps reduce food cravings, Helps relieve occasional stress, ","Non-GMO, Vegetarian, Gluten Free, ",1 capsule,600 mgAshwagandha Extract+,"Ashwagandha Extract, Organic Rice Hull Concentrate, Organic Rice Extract, Hypromellose (capsule shell), Organic gum arabic, Sunflower oil, ","Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Soy, Wheat, Ragweed"
"<h1 class=""h0"">Rhodiola</h1>",rhodiola_1,"<h3 class=""h4 subtitle"">The Cosmonaut</h3>","Brain, Energy, Stress, ","Rhodiola rosea is an adaptogenic herb that helps the body adapt to stress in a healthy way. Our rhodiola is harvested from the flowering plant in the Altai Mountains of Siberia and Russia.
",1 capsule per day+ $8/mo,"Rhodiola has a rich traditional history in both Siberian culture and Traditional Chinese Medicine. In the 20th Century, it was studied extensively in the Soviet Union for benefits in supporting stamina under prolonged stress - which made it a favorite of Russian cosmonauts. More recently, there has been research in the United States, including some studies using human subjects, that have shown similar, consistent outcomes.",Emerging Research,"Supports endurance and recovery after exercise, Promotes mental energy and focus, Supports stress and mood, ","Non-GMO, Vegetarian, Gluten Free, Vegan, ",1 capsule,250 mgRhodiola+,"Rhodiola, Organic tapioca maltodextrin, Organic Rice Hull Concentrate, Organic Rice Extract, Capsule Shell (hypromellose), Organic gum arabic, Sunflower oil, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Soy, Wheat, Ragweed"
"<h1 class=""h0"">Kanna</h1>",kanna_1,"<h3 class=""h4 subtitle"">The Study Buddy</h3>","Brain, Stress, ","Kanna, or sceletium tortuosum, is a succulent herb that supports cognitive focus, memory, and executive function. Ours is ecologically harvested in South Africa.",1 capsule per day+ $10/mo,"For hundreds of years, the indigenous hunter-gatherer San people of South Africa have used kanna, or sceletium tortuosum, to support cognitive focus and memory. Scientific research on kanna has indicated it positively affects brain health, but more is needed to determine the herb’s full impact. If you’re looking for something to boost your brain, kanna has a rich history.",Emerging Research,"Supports focus and cognitive function, Consult your doctor if you take these medications, Helps promote a positive mood, ","Non-GMO, Vegetarian, Gluten Free, Vegan, ",1 capsule,25 mgSceletium tortuosum extract+,"Sceletium tortuosum extract, Organic tapioca maltodextrin, Natural Mint Color, Organic Rice Hull Concentrate, Organic Rice Extract, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Ragweed"
"<h1 class=""h0"">Turmeric</h1>",turmeric_1,"<h3 class=""h4 subtitle"">The Golden Spice</h3>","Joints, ","Turmeric is a botanical supplement used for centuries in traditional medicine. Our turmeric is sustainably farmed in India, Vietnam, Peru, and select other countries, and produced with a gentle extraction process.
",1 liquid capsule per day+ $8/mo,"Extensive research and clinical trials have demonstrated the therapeutic properties of turmeric. Curcumin, the main ingredient in turmeric, can impact healthy functioning of several organs and has been used in traditional Ayurvedic medicine for hundreds of years.",Emerging Research,"Supports joint health, Promotes a positive mood, ","Non-GMO, Vegetarian, Gluten Free, ",1 liquid capsule,250 mgTurmeric AQE+100 mgTurmeric SCE+,"Turmeric AQE, Turmeric SCE, Sesame seed oil, Yellow beeswax, Sunflower Lecithin, Capsule shell (hypromellose), ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Soy, Wheat, Ragweed"
"<h1 class=""h0"">Elderberry</h1>",elderberry_1,"<h3 class=""h4 subtitle"">Traveler's Insurance</h3>","Immunity, ","Elderberries are a powerful antioxidant with a history dating back to the time of Hippocrates. Grown in the valleys of Austria, our elderberry is produced using a special extraction method that does not use solvents. Instead, we use a membrane extraction that preserves the nutrients of the berry.
",1 liquid capsule per day+ $8/mo,"Elderberry has been used traditionally for centuries in Europe and other parts of the world for its benefits to the immune system. While clinical research is limited, there was a promising 2009 study of 312 airline passengers.",Emerging Research,"Supports a healthy immune system, ","Non-GMO, Vegetarian, Gluten Free, Vegan, ",1 liquid capsule,300 mgElderberry+,"Elderberry, Maltodextrin, Sunflower Lecithin, Sesame seed oil, Capsule shell (hypromellose), ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Soy, Wheat, Ragweed"
"<h1 class=""h0"">Milk Thistle</h1>",milk-thistle_1,"<h3 class=""h4 subtitle"">The Drinking Buddy</h3>",,"Milk thistle is a flowering herb popular in Europe where it’s been used for thousands of years. Our milk thistle is grown in Europe and produced using a gentle extraction method that avoids commonly used harsh solvents.
",1 capsule per day+ $8/mo,"Since the time of the ancient Romans, Milk Thistle has been used to support healthy liver functions in Europe. In the modern era, scientific research has vacillated on the plant's impact on the liver. Laboratory studies have been strong and clinical studies mixed. We won't pretend Milk Thistle has scientific consensus, but if you are looking for something to help your liver, this plant has some of the stronger evidence and history. ",Mixed Research,"Supports liver health, ","Non-GMO, Vegetarian, Gluten Free, Vegan, ",1 capsule,300 mgMilk Thistle+,"Milk Thistle, Organic Rice Hull Concentrate, Organic Rice Extract, Organic gum arabic, Sunflower oil, Capsule Shell (hypromellose), Maltodextrin, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Soy, Wheat"
"<h1 class=""h0"">Garlic</h1>",garlic_1,"<h3 class=""h4 subtitle"">The Vampire Slayer</h3>","Heart, Immunity, ","Garlic is an herbal supplement that has long been used in traditional medicine. Ours is made from an oil extract of garlic and encapsulated in the United States.
",1 softgel per day+ $8/mo,"Garlic has been used in traditional medicine to support a number of functions in the body, from the immune system to digestion. In clinical research, garlic has been studied extensively for heart health and immune system support.  ",Strong Research,"Supports a healthy immune system, Supports heart health, ","Non-GMO, Gluten Free, ",1 softgel,1000 mgGarlic+,"Garlic, Gelatin (bovine), Glycerin, Soybean oil, Water, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Ragweed"
"<h1 class=""h0"">Evening Primrose</h1>",evening-primrose-oil_1,"<h3 class=""h4 subtitle"">Flower Power</h3>","Skin, ","Evening Primrose Oil is an herbal supplement made from a yellow flowering plant native to North America. Our supplement uses an oil extract made from the seeds of this plant.
",2 softgels per day+ $10/mo,"Evening primrose oil has been used traditionally by Native Americans. It has a long history of being used to support skin health. Limited amount of research is available for evening primrose and the impact it has on the skin, but the studies are promising. ",Mixed Research,"Supports healthy skin, ","Non-GMO, Gluten Free, ",2 softgels,1000 mgEvening Primrose Oil +,"Evening Primrose Oil , Gelatin (bovine), Glycerin, Water, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Soy, Wheat, Ragweed"
"<h1 class=""h0"">Saw Palmetto</h1>",saw-palmetto_1,"<h3 class=""h4 subtitle"">Man's Best Friend</h3>",,"Saw Palmetto is an herbal supplement made from the fruit of the Saw Palmetto tree. Ours is made from a crop grown in Southern Florida, gently extracted with carbon dioxide.
",1 softgel per day+ $8/mo,"Some small studies suggest that saw palmetto may be beneficial for prostate health, but more studies must be done to conclusively assess the health effects of this herbal supplement. ",Mixed Research,,"Non-GMO, Gluten Free, ",1 softgel,320 mgSaw Palmetto+,"Saw Palmetto, Gelatin (bovine), Glycerin, Water, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Soy, Wheat, Ragweed"
"<h1 class=""h0"">Probiotic Blend</h1>",probiotic_1,"<h3 class=""h4 subtitle"">The Harmonious Gut</h3>","Immunity, Prenatal, Digestion, ","Made in the United States, our probiotic blend is composed of L. acidophilus and B. lactis, two strains of ‘good’ bacteria with a growing volume of research around gut health.
",1 capsule per day+ $8/mo,"Probiotics have grown in popularity in recent years, in supplement form and in the form of foods and beverages like yogurt and kefir. Clinical studies on probiotics are still emerging, as recent years have provided much evidence of the benefits of probiotics. This ""good bacteria"" has been studied most extensively for digestive and immune system health. ",Emerging Research,"Supports gastrointestinal function, Supports the immune system, ","Non-GMO, Vegetarian, Gluten Free, Vegan, ",1 capsule,1 billion BCFULactobacillus acidophilus+4 billion BCFUBifidobacterium lactis+,"Lactobacillus acidophilus, Bifidobacterium lactis, Organic tapioca maltodextrin, Capsule shell, Organic Rice Extract, Organic gum arabic, Sunflower oil, Silica, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Soy, Wheat, Ragweed"
"<h1 class=""h0"">S. boulardii</h1>",boulardii_1,"<h3 class=""h4 subtitle"">The Yeast Probiotic</h3>","Digestion, ","Our S. boulardii, a yeast probiotic, is sourced from Italy and manufactured in the United States.
",2 capsules per day+ $16/mo,"Several clinical studies and experimental studies have suggested the benefit S. boulardii has on the functioning of the gastrointestinal tract. Though its use as a therapy is fairly recent, it is valued for its probiotic qualities.",Emerging Research,"Supports digestion, ","Non-GMO, Vegetarian, Vegan, ",2 capsules,1000 mgSaccharomyces boulardii+,"Saccharomyces boulardii, Saccharomyces cerevisiae, Silica, Organic Rice Hull Concentrate, Organic gum arabic, Organic Rice Extract, Sunflower oil, Capsule Shell (hypromellose), ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Soy, Ragweed"
"<h1 class=""h0"">Fish Oil</h1>",fish-oil_1,"<h3 class=""h4 subtitle"">The Heart Helper </h3>","Brain, Eyes, Heart, Joints, Prenatal, ","Our Fish oil is sustainably sourced from wild Alaskan salmon and includes eight fatty acids. It is produced using a cold-press, extra-virgin extraction, similar to methods used in making olive oil.
",2 softgels per day+ $16/mo,"The benefits of omega-3 fatty acids (EPA and DHA), which are found in fish oil, have been supported by repeated double-blind clinical trials. In 2004, the FDA announced qualified health claims for omega-3 fatty acids, noting supportive but not conclusive research that shows that consuming EPA and DHA omega-3 fatty acids may reduce the risk of coronary heart disease. Our Fish Oil includes 200mg of omega-3 fatty acids from EPA and DHA. ",Strong Research,"Helps maintain a healthy heart, Important when not eating enough fish, Helps maintain healthy joints, Helps maintain cognitive health, Helps maintain eye health, ","Non-GMO, Gluten Free, ",2 softgels,2000 mgWild Alaskan Salmon Oil+600 mgOmega-3+,"Wild Alaskan Salmon Oil, Omega-3, Mixed tocopherols, Gelatin (bovine), Glycerin, Water, ","Milk, Eggs, Shellfish, Tree Nuts, Peanuts, Wheat, Ragweed"
"<h1 class=""h0"">Veggie Omega</h1>",veggie-omega_1,"<h3 class=""h4 subtitle"">Veg Out</h3>","Brain, Eyes, Heart, Joints, Prenatal, ","Our Veggie Omega is an omega-3 supplement sustainably sourced from a type of microalgae, schizochytrium sp. and is loaded with EPA and DHA. It's a great way for vegans and vegetarians to get their omega-3s, which support heart health.",2 softgels per day+ $18/mo,"The benefits of omega-3 fatty acids (EPA and DHA), which are found in algae oil, have been supported by repeated double-blind clinical trials. Algae oil is a great alternative to fish oil for vegetarians or vegans looking to incorporate EPA and DHA into their diets. EPA and DHA are powerful omega-3 fatty acids that help maintain a healthy heart. ",Strong Research,"Helps maintain eye health, Helps maintain healthy joints, Helps maintain a healthy heart, Helps maintain cognitive health, Important when not eating enough fish, ","Non-GMO, Vegetarian, Gluten Free, Vegan, ",2 softgels,1030 mgAlgae oil +600 mgOmega-3+360 mgDHA+,"Algae oil , Omega-3, DHA, EPA, vegetarian shell, Sunflower oil, mixed tocopherols, Natural flavor, Sunflower lecithin, Ascorbyl palmitate, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Ragweed"
"<h1 class=""h0"">Astaxanthin</h1>",astaxanthin_3-1,"<h3 class=""h4 subtitle"">The Coral King</h3>","Brain, Heart, Skin, ","Astaxanthin is a powerful antioxidant that gives salmon and shrimp their coral color. Our Astaxanthin is the purest natural form extracted from cultivated marine microalgae. It is harvested from phototropic, Himalayan water-fed algae naturally rich in astaxanthin. 
",1 softgel per day+ $10/mo,Research and clinical studies involving 180+ humans have been done to show the effects of astaxanthin. The strongest research shows that astaxanthin is a stellar antioxidant and that it can support heart health. Further research is being conducted to explore the benefits of astaxanthin for other body functions. ,Strong Research,"Supports healthy skin, Supports cognitive health, Supports heart health, Supports athletic performance, ","Non-GMO, Gluten Free, ",1 softgel,6 mgAstaxanthin+10 IUVitamin E+,"Astaxanthin, Extra Virgin Olive Oil, Gelatin (bovine), Water, Glycerin, Vitamin E, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Ragweed"
"<h1 class=""h0"">Digestive Enzymes</h1>",enzyme_1,"<h3 class=""h4 subtitle"">The Enzyme Assist</h3>","Digestion, ","Seven highly researched enzymes that support digestion come together to create this powerful supplement. Six of the enzymes, including lactase, occur naturally in your body to help you break down food and convert it into energy.
",1 capsule per day+ $5/mo,"A healthy digestive system produces gastric, pancreatic, and intestinal enzymes, which play an important role in digestion. The use of enzyme supplementation is relatively recent, but emerging research, including randomized clinical studies, suggest it can be beneficial for gut health. ",Strong Research,"Supports digestive health, ","Non-GMO, Vegetarian, ",1 capsule,200 mgDigestive enzyme blend+30 mgLactase+,"Digestive enzyme blend, Lactase, Organic tapioca maltodextrin, Organic Rice Hull Concentrate, Organic Rice Extract, Capsule Shell (hypromellose), Organic gum arabic, Sunflower oil, Dextrose, Dextrin, Maltodextrin, Calcium carbonate, Sodium benzoate, Silica, Potassium sorbate, Dicalcium phosphate, ","Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Ragweed"
"<h1 class=""h0"">CoQ10</h1>",coq10_1,"<h3 class=""h4 subtitle"">The Heart Helper</h3>","Heart, ","We use the potent ubiquinol form to create the highest quality CoQ10, sourced from Japan and manufactured in the U.S.
",1 softgel per day+ $9/mo,"CoenzymeQ10 is an antioxidant required for the healthy functioning of cells. It is found in highest levels in the heart, liver, kidney and pancreas. Most research for CoQ10 supplementation has been related to the cardiovascular system along with muscle function. While statin medications may deplete this antioxidant and make CoQ10 supplementation beneficial for certain individuals, studies on otherwise healthy individuals have been mixed. ",Mixed Research,"Supports a healthy heart, ","Non-GMO, Vegetarian, Gluten Free, ",1 softgel,100 mgCoQ10+,"CoQ10, Canola oil, Polyglycerol esters of fatty acids, Yellow beeswax, Soy lecithin, Vegetarian gelatin shell, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Ragweed"
